,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC_x,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Notas,TC,CaG,Dist,FK,PB,PT_x,CaGC,GC_y,GC_y,Defesas,PT_y,GPC,Time
4,2023-05-10,21:30,Série A,Rodada da semana 5,qua,Visitante,D,1,4,Palmeiras,0.1,3.8,41,37.532,Walter Kannemann,3-4-1-2,Braulio da Silva Machado,Relatório da Partida,,3,2,218.0,0.0,0,0,10,4.0,4,6,1,1,Gremio
5,2023-05-14,16:00,Série A,Rodada da semana 6,dom,Em casa,E,0,0,Fortaleza,0.8,0.6,57,17.396,Walter Kannemann,4-2-3-1,Bruno Mota Correia,Relatório da Partida,,17,6,183.0,1.0,0,0,4,0.0,0,4,0,0,Gremio
6,2023-05-21,18:30,Série A,Rodada da semana 7,dom,Em casa,V,3,1,Internacional,1.7,1.5,30,39.438,Walter Kannemann,3-4-3,Flavio Rodrigues de Souza,Relatório da Partida,,14,6,137.0,0.0,0,0,4,1.0,1,3,0,0,Gremio
7,2023-05-27,16:00,Série A,Rodada da semana 8,sáb,Visitante,V,2,1,Ath Paranaense,0.7,1.3,34,25.966,Bruno Fabiano Alves,3-4-3,Savio Pereira,Relatório da Partida,,10,4,184.0,0.0,0,0,4,1.0,1,3,0,0,Gremio
8,2023-06-04,16:00,Série A,Rodada da semana 9,dom,Em casa,V,2,1,São Paulo,1.9,1.1,40,42.207,Walter Kannemann,3-4-3,Wilton Sampaio,Relatório da Partida,,20,6,190.0,1.0,1,1,4,1.0,1,3,0,0,Gremio
9,2023-06-11,18:30,Série A,Rodada da semana 10,dom,Visitante,D,0,3,Flamengo,2.0,1.9,48,62.967,Walter Kannemann,5-4-1,Savio Pereira,Relatório da Partida,,25,7,157.0,1.0,0,0,4,3.0,3,1,0,0,Gremio
10,2023-06-22,19:00,Série A,Rodada da semana 11,qui,Em casa,V,3,1,América (MG),2.4,0.8,72,15.864,Luis Suárez,4-2-3-1,Edina Alves Batista,Relatório da Partida,,22,9,168.0,0.0,0,0,2,1.0,1,1,0,0,Gremio
11,2023-06-25,16:00,Série A,Rodada da semana 12,dom,Em casa,V,5,1,Coritiba,3.4,1.1,50,37.048,Walter Kannemann,4-2-3-1,João Vitor Gobi,Relatório da Partida,,16,7,154.0,0.0,1,1,7,1.0,1,6,0,0,Gremio
12,2023-07-01,18:30,Série A,Rodada da semana 13,sáb,Visitante,V,2,1,Bahia,2.9,1.9,53,34.09,Walter Kannemann,5-4-1,Marcelo de Lima Henrique,Relatório da Partida,,14,7,135.0,1.0,0,0,4,1.0,1,3,0,0,Gremio
13,2023-07-09,18:30,Série A,Rodada da semana 14,dom,Em casa,D,0,2,Botafogo (RJ),1.6,1.1,52,,Walter Kannemann,3-4-3,Flavio Rodrigues de Souza,Relatório da Partida,,22,4,187.0,1.0,0,0,6,2.0,2,4,0,0,Gremio
14,2023-07-22,21:00,Série A,Rodada da semana 16,sáb,Em casa,V,1,0,Atlético Mineiro,0.7,0.9,39,37.085,Walter Kannemann,3-4-3,Luiz Flávio de Oliveira,Relatório da Partida,,6,2,168.0,0.0,0,0,3,0.0,0,3,0,0,Gremio
15,2023-07-30,18:30,Série A,Rodada da semana 17,dom,Visitante,E,1,1,Goiás,0.3,0.8,55,,Luis Suárez,3-4-3,Paulo Cesar Zanovelli da Silva,Relatório da Partida,,9,2,214.0,1.0,0,0,2,1.0,1,1,0,0,Gremio
16,2023-08-06,16:00,Série A,Rodada da semana 18,dom,Visitante,D,0,1,Vasco da Gama,1.5,1.8,48,,Luis Suárez,4-2-3-1,Luiz Flávio de Oliveira,Relatório da Partida,,12,3,158.0,0.0,0,0,4,1.0,1,3,0,0,Gremio
17,2023-08-13,16:00,Série A,Rodada da semana 19,dom,Em casa,V,2,1,Fluminense,1.2,1.0,29,,Luis Suárez,4-4-2,Rodrigo José Pereira de Lima,Relatório da Partida,,13,5,197.0,0.0,0,0,7,1.0,1,6,0,0,Gremio
18,2023-08-20,16:00,Série A,Rodada da semana 20,dom,Visitante,D,1,2,Santos,0.4,1.7,45,,Reinaldo,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,,9,3,214.0,0.0,0,0,7,2.0,2,5,0,0,Gremio
